id,user_id,center,extent
0,0,POINT (116.2998848121027180 39.9824155952495630),"POLYGON ((116.3007709811320751 39.9796754490565931, 116.2997586071428486 39.9808848214285675, 116.2994012666666777 39.9816235133333393, 116.2989222754491152 39.9832006706587109, 116.2991073692307396 39.9840636538461496, 116.2995620249999860 39.9842399500000028, 116.3003333333335121 39.9843999999999937, 116.3004338333333152 39.9842027666666624, 116.3011595298577276 39.9801396199052732, 116.3007709811320751 39.9796754490565931))"
1,0,POINT (116.3268145622343042 40.0001624573321024),"POLYGON ((116.3268249999999995 39.9977919999999969, 116.3257519999999801 39.9981269999999967, 116.3241167500000159 39.9991472500000000, 116.3238602222222369 39.9994621111111073, 116.3234945789473755 40.0000914210526375, 116.3239812000000057 40.0049467999999990, 116.3282385000000119 40.0028829999999971, 116.3282838333333302 40.0025544999999951, 116.3284459999999996 40.0011220000000023, 116.3281859999999881 39.9990869999999958, 116.3272103333333263 39.9978136666666657, 116.3268249999999995 39.9977919999999969))"
2,0,POINT (116.3198908820479716 40.0083957536531400),"POLYGON ((116.3180820387596555 39.9970871627906988, 116.3137856583850720 40.0101099254658692, 116.3137762758620681 40.0104835517241355, 116.3210682416107460 40.0133428389261852, 116.3235991141304169 40.0110894782608781, 116.3239694736842154 40.0099304736842072, 116.3241248055555559 40.0087692222222202, 116.3242599999999953 40.0064186363636338, 116.3232380000000177 40.0029383870967692, 116.3198330000000169 39.9971158888888851, 116.3180820387596555 39.9970871627906988))"
3,0,POINT (116.2968847189743968 40.0113375312569701),"POLYGON ((116.2968979503546336 40.0111943238770777, 116.2968233661017194 40.0112981220338995, 116.2969328404668943 40.0115201478599189, 116.2968979503546336 40.0111943238770777))"
4,0,POINT (116.3286152529584996 39.9921676086988143),"POLYGON ((116.3346317037036783 39.9887017777777913, 116.3279142500000063 39.9889161666666624, 116.3253031086956497 39.9908122670807273, 116.3246184117647175 39.9914694705882354, 116.3245591726189900 39.9924429666666583, 116.3248163297872395 39.9956876106383135, 116.3248911111111141 39.9962914444444380, 116.3254962727272641 39.9971930909091000, 116.3291796000000176 39.9959070666666676, 116.3332449999999909 39.9925448999999986, 116.3341472647058907 39.9915805588235216, 116.3343930444444112 39.9905129402777817, 116.3346317037036783 39.9887017777777913))"
5,0,POINT (116.3309524887033604 39.9762625347902514),"POLYGON ((116.3327409249999960 39.9687092583333410, 116.3284422537313390 39.9695124577114669, 116.3277333000000056 39.9697549999999993, 116.3249352337209359 39.9714584558139592, 116.3244819269230703 39.9717686730769231, 116.3236604889807211 39.9809906749311423, 116.3236816561845330 39.9810348113207752, 116.3247915999999975 39.9818832999999998, 116.3276375368420901 39.9839856684210488, 116.3293850000000020 39.9838215999999989, 116.3383614242424358 39.9815673484848588, 116.3405100188679171 39.9809632641509367, 116.3410598205128395 39.9803815622710701, 116.3405188974358992 39.9750504871794874, 116.3327409249999960 39.9687092583333410))"
6,0,POINT (116.3024886066859835 39.9877358860986547),"POLYGON ((116.3053219939148022 39.9846240182555377, 116.2986763244604163 39.9851512345323741, 116.2984823866666488 39.9854021114285771, 116.2983033983870911 39.9856430508064662, 116.2982571916666785 39.9858611833333342, 116.2973958454545311 39.9910684272727295, 116.2981580787878784 39.9929693484848556, 116.2983641846153802 39.9933159692307783, 116.2986035049999884 39.9932933650000138, 116.3061459050000082 39.9914516599999814, 116.3077999499999891 39.9896257750000004, 116.3079801263001229 39.9889285096583151, 116.3074446375000122 39.9879631812499952, 116.3053219939148022 39.9846240182555377))"
7,0,POINT (116.3216000175513187 40.0009156525928660),"POLYGON ((116.3215607647059073 39.9997311176470518, 116.3210015421246339 40.0012679682539627, 116.3214496461538516 40.0016777974358888, 116.3215727666666766 40.0014917999999895, 116.3219390000000004 40.0007274999999964, 116.3223497142856502 39.9998425714285659, 116.3215607647059073 39.9997311176470518))"
8,0,POINT (116.3266583900901026 40.0058094354729761),"POLYGON ((116.3265590000000032 40.0054999999999978, 116.3263830000000070 40.0057770000000019, 116.3263281666666842 40.0063193125000041, 116.3272077837837770 40.0055898648648665, 116.3265590000000032 40.0054999999999978))"
9,0,POINT (116.3220563384615218 39.9969030461538395),"POLYGON ((116.3226426428484785 39.9969030461538395, 116.3226398196325988 39.9968455782744670, 116.3226313771740763 39.9967886638421888, 116.3226173967784121 39.9967328509740980, 116.3225980130844448 39.9966786771786289, 116.3225734127677526 39.9966266641790398, 116.3225438327428378 39.9965773128889595, 116.3225095578814887 39.9965310985882780, 116.3224709182693744 39.9964884663459870, 116.3224282860270762 39.9964498267338726, 116.3223820717264090 39.9964155518725306, 116.3223327204363216 39.9963859718476016, 116.3222807074367324 39.9963613715309094, 116.3222265336412562 39.9963419878369493, 116.3221707207731725 39.9963280074412779, 116.3221138063408944 39.9963195649827625, 116.3220563384615218 39.9963167417668828, 116.3219988705821493 39.9963195649827625, 116.3219419561498711 39.9963280074412779, 116.3218861432817874 39.9963419878369493, 116.3218319694863112 39.9963613715309094, 116.3217799564867221 39.9963859718476016, 116.3217306051966347 39.9964155518725306, 116.3216843908959675 39.9964498267338726, 116.3216417586536693 39.9964884663459870, 116.3216031190415549 39.9965310985882780, 116.3215688441802058 39.9965773128889595, 116.3215392641552910 39.9966266641790398, 116.3215146638385988 39.9966786771786289, 116.3214952801446316 39.9967328509740980, 116.3214812997489673 39.9967886638421888, 116.3214728572904448 39.9968455782744670, 116.3214700340745651 39.9969030461538395, 116.3214728572904448 39.9969605140332121, 116.3214812997489673 39.9970174284654902, 116.3214952801446316 39.9970732413335810, 116.3215146638385988 39.9971274151290501, 116.3215392641552910 39.9971794281286392, 116.3215688441802058 39.9972287794187196, 116.3216031190415549 39.9972749937194010, 116.3216417586536693 39.9973176259616920, 116.3216843908959675 39.9973562655738064, 116.3217306051966347 39.9973905404351484, 116.3217799564867221 39.9974201204600774, 116.3218319694863112 39.9974447207767696, 116.3218861432817874 39.9974641044707298, 116.3219419561498711 39.9974780848664011, 116.3219988705821493 39.9974865273249165, 116.3220563384615218 39.9974893505407962, 116.3221138063408944 39.9974865273249165, 116.3221707207731725 39.9974780848664011, 116.3222265336412562 39.9974641044707298, 116.3222807074367324 39.9974447207767696, 116.3223327204363216 39.9974201204600774, 116.3223820717264090 39.9973905404351484, 116.3224282860270762 39.9973562655738064, 116.3224709182693744 39.9973176259616920, 116.3225095578814887 39.9972749937194010, 116.3225438327428378 39.9972287794187196, 116.3225734127677526 39.9971794281286392, 116.3225980130844448 39.9971274151290501, 116.3226173967784121 39.9970732413335810, 116.3226313771740763 39.9970174284654902, 116.3226398196325988 39.9969605140332121, 116.3226426428484785 39.9969030461538395))"
